Record #:  0
Notes :


6/26/20192:23:20 PMRecord #:  0
Notes :


6/26/20192:23:20 PM
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
432.395935E-6	-364.589691E-6	12.540817E-6	-484.752655E-6	-722.837448E-6	255.250931E-6	-408.935547E-6	92.315674E-6
432.920456E-6	-364.255905E-6	12.207031E-6	-484.514236E-6	-723.075867E-6	254.869461E-6	-408.840179E-6	92.697144E-6
432.395935E-6	-364.780426E-6	11.253357E-6	-484.323502E-6	-722.789764E-6	255.298615E-6	-409.317017E-6	94.270706E-6
432.538986E-6	-364.971161E-6	11.920929E-6	-484.275818E-6	-721.931458E-6	256.490707E-6	-409.555435E-6	94.318390E-6
432.920456E-6	-365.209579E-6	13.065338E-6	-485.134125E-6	-722.503662E-6	256.586075E-6	-409.173965E-6	94.079971E-6
433.158875E-6	-365.114212E-6	11.825562E-6	-485.134125E-6	-722.980499E-6	255.870819E-6	-409.460068E-6	93.555450E-6
432.872772E-6	-364.589691E-6	12.302399E-6	-484.991074E-6	-722.837448E-6	255.298615E-6	-409.793854E-6	92.697144E-6
433.349609E-6	-364.828110E-6	11.968613E-6	-485.754013E-6	-722.599030E-6	255.155563E-6	-409.460068E-6	93.078613E-6
433.540344E-6	-365.257263E-6	11.396408E-6	-485.563278E-6	-722.789764E-6	255.155563E-6	-409.221649E-6	93.269348E-6
432.205200E-6	-365.209579E-6	11.968613E-6	-484.418869E-6	-723.171234E-6	255.250931E-6	-409.221649E-6	92.649460E-6
431.680679E-6	-365.495682E-6	12.874603E-6	-484.275818E-6	-722.742081E-6	254.964828E-6	-408.935547E-6	93.555450E-6
433.349609E-6	-365.447998E-6	12.350082E-6	-484.752655E-6	-723.075867E-6	255.489349E-6	-408.029556E-6	93.317032E-6
